subject,dataset,config,n_draws,n_pseudo_total,pct_epoch_overlap,pct_window_inside_evoked,pct_retained_clean,mean_clean_surrogates_per_draw,excluded_cached
001,erp_core,config4,1000,71000,14.930985915492958,3.1732394366197183,96.82676056338028,32.0,False
002,erp_core,config4,1000,86853,36.15304019435138,9.129218334427135,90.87078166557286,48.0,False
003,erp_core,config4,1000,23000,29.35217391304348,1.9608695652173913,98.0391304347826,10.0,False
005,erp_core,config4,1000,11000,10.127272727272727,0.13636363636363635,99.86363636363636,0.0,False
006,erp_core,config4,1000,29000,79.03793103448275,5.8310344827586205,94.16896551724138,13.0,False
007,erp_core,config4,1000,22000,51.17272727272727,2.909090909090909,97.0909090909091,11.0,False
010,erp_core,config4,1000,27000,50.3,4.233333333333333,95.76666666666667,12.0,False
011,erp_core,config4,1000,59000,48.29491525423729,6.779661016949152,93.22033898305085,32.0,False
012,erp_core,config4,1000,79973,80.31710702362047,15.754066997611694,84.24593300238831,60.0,False
013,erp_core,config4,1000,77000,56.5974025974026,11.309090909090909,88.69090909090909,59.0,False
014,erp_core,config4,1000,33000,57.406060606060606,4.345454545454546,95.65454545454546,17.0,False
015,erp_core,config4,1000,86218,61.07657333735415,16.934978774733814,83.06502122526618,53.0,False
016,erp_core,config4,1000,62000,33.38709677419355,5.217741935483871,94.78225806451613,31.0,False
017,erp_core,config4,1000,64971,26.153206815348387,6.307429468532114,93.69257053146788,20.0,False
019,erp_core,config4,1000,77896,55.58950395398993,12.03014275444182,87.96985724555817,64.0,False
020,erp_core,config4,1000,47000,49.06170212765957,6.046808510638298,93.9531914893617,20.0,False
021,erp_core,config4,1000,35000,35.511428571428574,3.342857142857143,96.65714285714286,16.0,False
022,erp_core,config4,1000,74000,51.08513513513513,10.590540540540541,89.40945945945946,49.0,False
024,erp_core,config4,1000,73000,60.28493150684932,11.009589041095891,88.9904109589041,44.0,False
025,erp_core,config4,1000,40000,30.9075,2.9775,97.0225,14.0,False
026,erp_core,config4,1000,37000,50.47837837837838,5.078378378378378,94.92162162162163,18.0,False
027,erp_core,config4,1000,52000,57.90576923076923,7.855769230769231,92.14423076923077,30.0,False
028,erp_core,config4,1000,48000,30.170833333333334,3.7729166666666667,96.22708333333334,18.0,False
029,erp_core,config4,1000,52000,60.71153846153846,8.640384615384615,91.35961538461538,37.0,False
030,erp_core,config4,1000,16000,40.45625,1.70625,98.29375,0.0,False
031,erp_core,config4,1000,24000,56.4625,3.4541666666666666,96.54583333333333,12.0,False
033,erp_core,config4,1000,54999,62.07567410316551,8.078328696885398,91.9216713031146,35.0,False
034,erp_core,config4,1000,72155,64.28244750883515,12.190423394082185,87.80957660591781,49.0,False
035,erp_core,config4,1000,48000,26.891666666666666,3.075,96.925,13.0,False
037,erp_core,config4,1000,11000,34.30909090909091,1.2545454545454546,98.74545454545455,10.0,False
038,erp_core,config4,1000,66000,21.143939393939394,3.06969696969697,96.93030303030304,32.0,False
039,erp_core,config4,1000,12000,16.108333333333334,0.925,99.075,0.0,False
040,erp_core,config4,1000,51000,32.003921568627455,4.323529411764706,95.67647058823529,12.0,False
