dataset,config,model,subject,real_slope,pseudo_mean,d,n_pseudo_draws,used
erp_core,config4,M1_RMS_Fz_0_150,sub-001,0.020692411326386124,-0.14787309871267723,0.16856551003906337,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-002,-0.1790765535143619,0.018786205060625547,-0.19786275857498747,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-003,-0.33720936934707907,-0.013762758128865436,-0.3234466112182136,4,False
erp_core,config4,M1_RMS_Fz_0_150,sub-005,0.26127379926132505,,,0,False
erp_core,config4,M1_RMS_Fz_0_150,sub-006,-0.3392813399535547,-0.015736755073758317,-0.32354458487979637,958,True
erp_core,config4,M1_RMS_Fz_0_150,sub-007,-0.22072623138998063,0.055032592786830446,-0.2757588241768111,594,True
erp_core,config4,M1_RMS_Fz_0_150,sub-010,-0.12511474673198653,-0.029738475682747595,-0.09537627104923893,717,True
erp_core,config4,M1_RMS_Fz_0_150,sub-011,-0.13607009536100675,-0.056480301321986955,-0.0795897940390198,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-012,-0.022285830002422506,-0.08677702990207678,0.06449119989965427,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-013,-0.11992560134625911,-0.1834322858924103,0.0635066845461512,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-014,0.09933651221629472,-0.12809357151205705,0.22743008372835177,999,True
erp_core,config4,M1_RMS_Fz_0_150,sub-015,-0.04599294847580653,-0.02147581741392817,-0.02451713106187836,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-016,-0.4199660310874249,-0.19027626270084677,-0.22968976838657815,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-017,-0.044159311317435966,0.03264938997012716,-0.07680870128756312,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-019,0.030567874853362847,-0.021998631907928997,0.05256650676129185,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-020,-0.00847641410400067,0.14347636856256127,-0.15195278266656193,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-021,0.0673323022511389,-0.021586853495873793,0.08891915574701269,994,True
erp_core,config4,M1_RMS_Fz_0_150,sub-022,-0.1599403931550451,0.048749825999818246,-0.20869021915486335,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-024,-0.16354330521826999,-0.10264201324682176,-0.060901291971448224,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-025,-0.42169371481451473,-0.08121430302368264,-0.3404794117908321,977,True
erp_core,config4,M1_RMS_Fz_0_150,sub-026,-0.18362613256890298,-0.1772646520043458,-0.0063614805645571815,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-027,0.015033928036628336,-0.06666826314800386,0.0817021911846322,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-028,0.08957291587956089,-0.03427241358014135,0.12384532945970224,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-029,-0.06506814814861676,-0.15434980547352242,0.08928165732490566,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-030,-0.49531364624857566,,,0,False
