subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300
sub-021,0.4928178290580529,0.2769240224852304,0.4110478627265517,0.10612494023861573,2.325967374899037,-2.1370380825513428e-05
sub-021,0.5127279331817586,0.24082665517027577,0.4110478627265517,0.12428212251448854,1.9957169353658066,-5.580491740401723e-06
sub-021,0.5196753579480429,0.3596555720768702,0.49325743527186205,0.11937467568056975,2.112981618519813,-1.2603553127113986e-05
sub-021,0.5185299387581237,0.4173842003453747,0.4110478627265517,0.12841844729865798,2.150398437950785,-6.363264005370803e-06
sub-021,0.6156769380791648,0.504405055963068,0.49325743527186205,0.17724557050147507,1.912146186179032,-1.1737329818305552e-05
sub-021,0.529224986254809,0.3087354816496133,0.4110478627265517,0.11037801612750807,2.0221537743074087,-1.1625312753282798e-06
sub-021,0.5837676153804868,0.2805135829731684,0.4110478627265517,0.11675117813114952,2.059465955044524,-7.333484271371e-06
sub-021,0.4683523188072587,0.28895030343977607,0.4110478627265517,0.10150458789012115,1.7505377925070778,1.3504290424695552e-06
sub-021,0.6122386799993341,0.3194981176364409,0.5754670078171724,0.11133828324889518,2.5072489950447676,2.0435445134199113e-05
sub-021,0.5256666561903609,0.42199441005937505,0.49325743527186205,0.18290644242735873,1.3002947686960349,4.4230587939338685e-07
sub-021,0.5727098389396168,0.20007827838321368,0.32883829018124133,0.09529347815616712,2.910892100139805,7.33028037809878e-06
sub-021,0.6076308150108348,0.2555625230296683,0.4110478627265517,0.08720182119144612,3.3248758756553545,2.2722044594685445e-06
sub-021,0.5236228166082872,0.3757893399620478,0.4110478627265517,0.13333754997848715,1.493428569812587,-3.4054635660816947e-06
sub-021,0.4413932850972236,0.23471653687186828,0.32883829018124133,0.10082574478454595,2.335184022144475,2.6840391529864794e-07
sub-021,0.5580861450245486,0.3090048419206021,0.32883829018124133,0.11224528385448983,1.6169643388434538,4.836366237260192e-06
sub-021,0.5691524128025661,0.2344007058388443,0.32883829018124133,0.11592925786269033,2.2661353367362245,9.412191061437908e-06
sub-021,0.5127279331817586,0.235611626286239,0.4110478627265517,0.12113460599229495,1.600597946736848,1.952223917373371e-06
sub-021,0.5718220282306016,0.28563917082198065,0.24662871763593103,0.10114123991785799,2.1854491492118315,-1.5245711213533054e-06
sub-021,0.5249096607162105,0.36593426935152906,0.32883829018124133,0.12060849430709011,1.637033850405779,3.489832594537409e-06
sub-021,0.5617623146491274,0.36936010346604814,0.49325743527186205,0.20685300457180117,1.3533553223714532,1.310408092242409e-06
sub-021,0.5473604773001101,0.48985250038571176,0.49325743527186205,0.19311318942870467,1.2539424787252158,1.75575325219215e-05
sub-021,0.490661848355847,0.3223502013976578,0.4110478627265517,0.12444642179348692,1.4354807701131016,-4.2477004317386445e-06
sub-021,0.5727098389396168,0.46262352194811296,0.4110478627265517,0.1501932213238364,1.519730922097257,-2.7668309919220676e-06
sub-021,0.5318754369193467,0.38064993898844046,0.49325743527186205,0.11531930363616648,2.0046295606560753,-5.339887745275774e-06
sub-021,0.47254566013576904,0.30759738215272237,0.49325743527186205,0.11620631182020283,1.6458563047945485,4.911326173565947e-07
sub-021,0.5502803436659474,0.450505833532468,0.6576765803624827,0.16856868488803073,1.5708480055574476,1.3995973768925226e-06
sub-021,0.533013806354497,0.26469255422708216,0.4110478627265517,0.08165354449402379,3.0592585174968994,-6.902517367328977e-06
sub-021,0.4970176400348177,0.3396773675701613,0.4110478627265517,0.11978653861209315,2.1773293884234155,1.3481886440844852e-05
sub-021,0.535834099193492,0.35020242943311486,0.4110478627265517,0.1291653400073641,1.6299324196110287,-1.4375424255123676e-05
sub-021,0.5796184071489213,0.1962478664921491,0.4110478627265517,0.12773937945660058,1.711306089825381,-6.887766313035425e-06
sub-021,0.5007558765056858,0.10148939617028299,0.24662871763593103,0.0635932745485126,3.3288310726222634,5.770634262769859e-06
sub-021,0.5727098389396168,0.46034171833399856,0.4110478627265517,0.16548460727852143,1.407586779115165,-2.498204898922935e-06
sub-021,0.47380685758633556,0.331645195872897,0.4110478627265517,0.1506420438591214,1.0175443834186906,-6.267526691999225e-06
sub-021,0.5384620265792534,0.4270375933622922,0.4110478627265517,0.1742465773984386,1.2458205797297581,-1.3756733383102923e-05
sub-021,0.5707108191664222,0.3044125007109904,0.32883829018124133,0.12313906249309313,2.135580267550448,-2.4407630019966638e-06
sub-021,0.5173292047124093,0.3483066942682157,0.4110478627265517,0.12466769859450146,1.439739194594261,1.9188768846815918e-05
sub-021,0.5430183535325669,0.22490153594510776,0.4110478627265517,0.1127855804612156,2.220914983048824,-8.543940138431046e-06
sub-021,0.5646821810149647,0.402562348450203,0.4110478627265517,0.17533655567717688,1.5010627742319653,-3.0583027952565147e-06
sub-021,0.5165763667725396,0.3867729750960119,0.4110478627265517,0.11246385243292713,2.4354100556728278,-8.912335578389696e-06
sub-021,0.5527439577492197,0.3798226774948267,0.32883829018124133,0.1371909412007691,2.1407525218509877,6.572010961228266e-06
sub-021,0.46085004905813765,0.4474293072071966,0.4110478627265517,0.1336766647450336,1.9464326078290928,1.2254077763688678e-05
sub-021,0.4142919403862452,0.24304991843101262,0.4110478627265517,0.1139118043676799,1.6307787669817653,1.3119313099718164e-06
sub-026,0.5434541628973574,0.2994309649408638,0.5754670078171724,0.11249545950369907,3.0138856266386735,8.982012624266537e-06
sub-026,0.5547505754535487,0.5260930958967791,0.4110478627265517,0.2257205378883227,1.128612252311245,-2.160703772936816e-06
sub-026,0.6159044319026156,0.3826069700321142,0.49325743527186205,0.2627850380402568,1.1868503441478684,7.726049405530563e-06
sub-026,0.6322728911891321,0.21622310846963594,0.6576765803624827,0.23354502208923958,1.2401820583112153,1.3758204977393287e-05
sub-026,0.6110433292371705,0.43332206261113054,0.4110478627265517,0.22323704725804142,1.3596610514795777,4.949325600807495e-07
sub-026,0.5112143629645954,0.44967120061266,0.49325743527186205,0.1712504696542009,1.2939604199079522,6.236512932852256e-06
sub-026,0.6378525176420436,0.41871033485818493,0.4110478627265517,0.17378212630834314,2.027828906551209,-5.739249012561607e-06
sub-026,0.5117193122120364,0.42407029593919876,0.5754670078171724,0.1449959253258762,1.7630488217326923,2.0355783705223992e-06
sub-026,0.6117294943091915,0.325422400434628,0.32883829018124133,0.18920252637109963,1.4862426027056648,6.217969092413985e-06
sub-026,0.5400684935393784,0.2838870014832293,0.4110478627265517,0.1145928621415176,2.286706744025323,1.7020581877111005e-06
sub-026,0.5707108191664222,0.48916412698481126,0.5754670078171724,0.2190414155236461,1.173996826469634,-3.3305617604595574e-06
sub-026,0.5727098389396168,0.4439313889359605,0.49325743527186205,0.1493111414917656,1.6897923481783736,-3.4999565034214533e-06
sub-026,0.594928194242335,0.3321338350226148,0.4110478627265517,0.14416038240750118,1.710183273527709,1.6073541905200892e-05
sub-026,0.5726626889456685,0.5455111817538806,0.5754670078171724,0.2976537723717492,1.0986526508281498,7.905103570292231e-06
sub-026,0.5671440611465248,0.29707181280161993,0.32883829018124133,0.15401151961829265,1.6570154924988905,1.091020465566661e-05
sub-026,0.5502803436659472,0.48835276791393206,0.49325743527186205,0.20547551048946786,1.3688319249062637,6.550329443098297e-06
sub-026,0.5318754369193467,0.3212730168878164,0.4110478627265517,0.14444424151802823,1.235902778839994,9.620078546532632e-06
sub-026,0.6138446705023917,0.6090640633494039,0.6576765803624827,0.2462445742170138,1.2344560648261622,8.350955051032497e-06
sub-026,0.577481681948828,0.5477813302884199,0.49325743527186205,0.19658316361847802,1.3978384576655025,1.1292472122923501e-06
