n_real,fs,dur_s,real_iti_median,real_iti_q10,real_iti_q90,pseudo_gap_median,pseudo_gap_q10,pseudo_gap_q90,real_pos_mean,pseudo_pos_mean,real_pos_sd,pseudo_pos_sd,subject
200,1024,462.2109375,1.5,1.416796875,1.5822265625,5.052734375,0.51953125,17.625585937500002,0.5075288926356,0.5029470218930663,0.29917347562816826,0.27021363121649605,sub-001
200,1024,400.4287109375,1.515625,1.4326171875,1.5830078125,1.0537109375,0.51171875,8.750390625000001,0.5141980518926248,0.48164936061897257,0.28598657529142046,0.2856026865484511,sub-002
200,1024,373.55859375,1.5,1.416015625,1.5830078125,0.583984375,0.509765625,6.1953125,0.5075374355595988,0.4811000877151829,0.2900551334308542,0.2868575461953248,sub-003
200,1024,544.955078125,1.4990234375,1.416015625,1.5861328125000003,7.7099609375,0.5341796875,25.005859375,0.5000788661622768,0.4997411485232083,0.2974061839432486,0.2799320266740694,sub-004
200,1024,379.3212890625,1.5,1.416015625,1.5830078125,3.4931640625,0.5302734375,8.624609374999999,0.5195630816759993,0.43144482013504104,0.2883182025314257,0.2743115839222466,sub-005
200,1024,328.1953125,1.515625,1.4326171875,1.5986328125,0.568359375,0.513671875,0.76123046875,0.4961510033564236,0.5096036181368903,0.2877544128509795,0.28228856068693303,sub-006
200,1024,355.234375,1.5,1.4294921875,1.599609375,0.5595703125,0.5107421875,3.24609375,0.5052823427534637,0.5025968908678053,0.28698632488905906,0.2888395815366044,sub-007
200,1024,459.3583984375,1.5,1.4169921875,1.5830078125,0.779296875,0.521484375,15.973828125000004,0.5255021227382792,0.5006255251538195,0.2987278525351497,0.282891580137214,sub-008
200,1024,351.6787109375,1.5166015625,1.4326171875,1.5830078125,0.564453125,0.5087890625,3.6305664062500007,0.5066508570777992,0.5351342543444442,0.28508730334665494,0.28431785925303904,sub-009
200,1024,366.896484375,1.515625,1.416796875,1.5830078125,0.5751953125,0.513671875,4.526757812499998,0.49148006931025123,0.5104490661275477,0.29304216761543456,0.28724658373555595,sub-010
200,1024,369.7021484375,1.4990234375,1.416015625,1.5830078125,0.56640625,0.509765625,4.936230468750001,0.514996513240441,0.5088857751354698,0.27642184795296865,0.30663514908650336,sub-011
200,1024,337.3349609375,1.5,1.416015625,1.5830078125,0.5556640625,0.509765625,1.4397460937499993,0.5079331328108943,0.5084424869175805,0.2812252839139673,0.2949288328848482,sub-012
200,1024,369.0029296875,1.515625,1.4169921875,1.5830078125,0.57421875,0.513671875,4.756542968750004,0.509151919102099,0.50367586360879,0.2894091145102729,0.2857704565785076,sub-013
200,1024,338.0244140625,1.515625,1.4294921875,1.5830078125,0.552734375,0.5078125,2.6904296875,0.5055964979184543,0.4899026211024043,0.2884164843722834,0.2782201012069825,sub-014
200,1024,362.55078125,1.5,1.4326171875,1.5830078125,0.5595703125,0.509765625,4.491796875000002,0.5206701647398533,0.5063574503401876,0.28567671635280095,0.29463401638413605,sub-015
200,1024,406.1748046875,1.515625,1.416796875,1.5830078125,0.591796875,0.5126953125,8.974609375,0.5067925192884261,0.5012430175459806,0.2913640062818797,0.27995317901176603,sub-016
200,1024,386.1123046875,1.4990234375,1.416015625,1.5830078125,2.0078125,0.5126953125,8.7001953125,0.5033042220249431,0.5146246376287722,0.2921872358659934,0.28094781911300376,sub-017
200,1024,394.1044921875,1.4833984375,1.416015625,1.5830078125,0.5791015625,0.51171875,7.4775390625,0.5086679527112247,0.5081741768267057,0.2877461726825278,0.28155211584409906,sub-018
200,1024,367.0634765625,1.515625,1.416015625,1.5830078125,0.564453125,0.509765625,4.5361328125,0.5228643584402178,0.4431464915997668,0.27870392110819825,0.29160728447459155,sub-019
200,1024,366.8017578125,1.5,1.416015625,1.5861328125000003,0.5634765625,0.5107421875,4.721484375000003,0.5062946845755514,0.4917206924357945,0.2855423349169081,0.2926986406242708,sub-020
200,1024,383.5400390625,1.5166015625,1.416015625,1.5830078125,0.57421875,0.51171875,7.470898437500004,0.4947768908579358,0.5223196261081108,0.2920190405939263,0.27794697650765593,sub-021
200,1024,374.439453125,1.5,1.4326171875,1.5830078125,0.57666015625,0.51171875,5.158203125,0.5257098762212266,0.49819210224080346,0.2806673486624332,0.28777584166089687,sub-022
200,1024,346.3447265625,1.4990234375,1.4169921875,1.5830078125,0.5703125,0.5087890625,3.8042968750000004,0.5094164079660066,0.5211238708591022,0.2850694862021466,0.29859531356038477,sub-023
200,1024,356.8896484375,1.515625,1.416015625,1.5830078125,0.55859375,0.509765625,3.93359375,0.5098279541940868,0.508381022328193,0.2880214848684362,0.27157378962636,sub-024
200,1024,380.064453125,1.515625,1.4326171875,1.5830078125,0.6171875,0.5114257812500003,6.605761718749999,0.5186820183665394,0.44878779186296125,0.2862994538423471,0.2966971530180284,sub-025
200,1024,355.3720703125,1.4990234375,1.416015625,1.5830078125,0.556640625,0.509765625,3.6428710937499993,0.5075040601702112,0.49846486266334694,0.2880020221670199,0.28825225461642884,sub-026
200,1024,357.296875,1.515625,1.4326171875,1.5830078125,0.56640625,0.51171875,3.66015625,0.5065115805527616,0.48513232786467575,0.28835839982085776,0.28789493261648624,sub-027
200,1024,394.4091796875,1.4990234375,1.416015625,1.5830078125,0.6728515625,0.51171875,22.48173828125,0.5125644568245126,0.500809557501381,0.30685260462682135,0.26457013137640084,sub-028
200,1024,344.3125,1.5,1.4326171875,1.5830078125,0.5615234375,0.509765625,2.9736328125,0.5088161701306952,0.5109377173206766,0.28452736270015266,0.2908609643287227,sub-029
200,1024,382.3173828125,1.5,1.416015625,1.5830078125,0.5791015625,0.5146484375,5.601855468749999,0.533921296166215,0.48711629842224097,0.2740237737902819,0.2953031642468775,sub-030
200,1024,342.5302734375,1.5,1.416015625,1.5830078125,0.55078125,0.5087890625,2.296972656250002,0.5100098217824041,0.4974232601212275,0.2857131404057735,0.29006915204476813,sub-031
200,1024,365.9736328125,1.515625,1.4294921875,1.5861328125000003,0.5615234375,0.5087890625,5.042187500000004,0.5030610769111717,0.4954610003020017,0.29039755522470395,0.2897653259879542,sub-032
200,1024,347.619140625,1.5,1.4326171875,1.5830078125,0.5546875,0.5087890625,2.8818359375,0.5097060641304408,0.5317387335270305,0.2824922455324456,0.3021579246022016,sub-033
200,1024,348.443359375,1.5,1.416015625,1.5830078125,0.5576171875,0.5087890625,3.2861328125,0.5030845333318387,0.50919256182083,0.28508370053665283,0.30752056574886205,sub-034
200,1024,463.2568359375,1.515625,1.4326171875,1.5830078125,1.05810546875,0.5205078125,27.89453125,0.5644752463768116,0.47683624184043377,0.29362238875396907,0.2807095133553376,sub-035
200,1024,352.6220703125,1.4990234375,1.416015625,1.5830078125,0.5634765625,0.5087890625,3.6761718750000014,0.5178188238226455,0.5059022580371192,0.2813872524421256,0.30553587198836435,sub-036
