subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300,dataset
sub-001,0.44683644325885197,0.21406513885445147,0.23593462794463968,0.07896122222575161,1.4970767052992862,1.1702382239015197e-06,primary
sub-001,0.49044594179738504,0.290378218598362,0.2831215535335676,0.1146980492919651,1.0486589684740955,-6.569207387072767e-06,primary
sub-001,0.48484730543391463,0.4616022949281465,0.33030847912249556,0.1260846761806954,1.074454435998267,2.3829629534805975e-07,primary
sub-001,0.505046667040039,0.29266961396281993,0.2831215535335676,0.10209812648868362,1.3337839764490504,7.074830014667115e-07,primary
sub-001,0.4752619447337092,0.15469124960094954,0.23593462794463968,0.061245914649673924,1.8911607073223984,2.223184212523183e-07,primary
sub-001,0.48958695983087336,0.19872838155638844,0.23593462794463968,0.06059581376189271,2.0483663984180605,-2.284848402453157e-06,primary
sub-001,0.4934702929298053,0.2793832696370859,0.18874770235571173,0.0873817380517693,1.3631569792482798,2.48404134661436e-06,primary
sub-001,0.5179898458198989,0.2831821671289285,0.4246823303003514,0.12049421423999726,1.1862652222991716,-1.6210590691773656e-06,primary
sub-001,0.5004695691671727,0.10401733211135862,0.18874770235571173,0.04868111407439682,2.247363909103204,4.325177658770096e-06,primary
sub-001,0.48540164664858326,0.2908739040795571,0.23593462794463968,0.08469853741481631,1.4485503635998729,-2.438748114839157e-06,primary
sub-001,0.47871153371433833,0.276566096511873,0.2831215535335676,0.10122277941676133,1.22040221814608,-5.195600167828275e-06,primary
sub-001,0.46678574894368535,0.3422083900167377,0.23593462794463968,0.09438113494831149,1.3116951614244712,-1.9483891376891394e-06,primary
sub-001,0.4587865448008066,0.2398914086154325,0.2831215535335676,0.07295712298282105,1.493548207322437,6.171159515248979e-06,primary
sub-001,0.4822733655483624,0.09623616171319337,0.2831215535335676,0.05305037971592519,2.444528895636389,-5.699237108507097e-06,primary
sub-001,0.5034102409331138,0.32449604557449724,0.2831215535335676,0.09249094018971801,1.5747368118156362,-3.856600504680997e-06,primary
sub-001,0.4586193868980292,0.23748227188560164,0.2831215535335676,0.0681639806614467,1.2406992078793828,-1.62061141058833e-06,primary
sub-001,0.4022045547576038,0.18165064096872097,0.23593462794463968,0.06452716282337168,1.2744618626781221,7.492964091533215e-06,primary
sub-001,0.47480254393791327,0.24585029794034352,0.23593462794463968,0.09083928021161333,1.200283242826475,-1.0334163575073173e-06,primary
sub-001,0.4545783386695947,0.2113090936672069,0.23593462794463968,0.0669043620729231,1.6913372448101616,-3.22223850066579e-06,primary
sub-001,0.469669694188464,0.13844842773094526,0.23593462794463968,0.0536645431734649,2.6607309645939177,2.5807253082852155e-06,primary
sub-001,0.4721201509846129,0.2933909366721011,0.23593462794463968,0.0830964351016705,1.4011841108505816,-8.232776894208956e-07,primary
sub-001,0.41997389033098087,0.1463795351023716,0.18874770235571173,0.054810399233336735,1.9850291063612668,1.6416985564541845e-06,primary
sub-001,0.484076179928924,0.2304978131418956,0.18874770235571173,0.09156142689480198,1.38365074365019,4.056592293187776e-06,primary
sub-001,0.4714800033901207,0.22222485579713716,0.23593462794463968,0.07587675350359388,1.2848966937186106,3.1223445800726294e-06,primary
sub-001,0.47721031950085685,0.27373130719544836,0.18874770235571173,0.07873810835692728,1.2710844917029391,-7.311753685000729e-06,primary
sub-001,0.5304325019550014,0.1930213045335678,0.23593462794463968,0.07041736104509515,1.7537375138890803,-2.966900131354437e-06,primary
sub-001,0.4558317204154046,0.22273109513183129,0.2831215535335676,0.08603945024487292,1.0772593996532651,-1.8878955494566854e-06,primary
sub-001,0.4978011466794933,0.28993686483887,0.23593462794463968,0.10379265778837723,1.413219501199542,2.536004819071836e-06,primary
sub-001,0.48639556978981857,0.3190571950195347,0.2831215535335676,0.09113521363516508,1.5120661391819359,4.3246514788254495e-06,primary
sub-001,0.5043265968036498,0.34417976608269135,0.2831215535335676,0.09646537681298463,1.4743796921297936,-3.4602570813055826e-06,primary
sub-001,0.3830288171706731,0.2078398794331956,0.23593462794463968,0.06280487714834299,1.5593523433278256,2.9171649983865296e-06,primary
sub-001,0.45432394004311916,0.258041491165487,0.23593462794463968,0.08274804072064595,1.2150124405716456,4.006210554034165e-06,primary
sub-001,0.4822733655483624,0.15048095093829583,0.23593462794463968,0.06747803066767377,1.56937827713338,9.63730347884808e-06,primary
sub-002,0.5076775495685366,0.3754842758962285,0.37749540471142345,0.12112145727260129,1.2242736977495619,8.418581226807917e-06,primary
sub-002,0.518397952681284,0.28907774609075565,0.4246823303003514,0.10011749454085596,1.4509999189504144,2.6925592291660135e-06,primary
sub-002,0.4904085485663873,0.2580333785296511,0.4246823303003514,0.0920639994603512,1.5344160579820876,3.2684466398434434e-06,primary
sub-002,0.45891177942974015,0.23374810456300685,0.33030847912249556,0.09001702545840709,1.5035950127678326,7.0758176876933595e-06,primary
sub-002,0.4448545263436244,0.22596784207597165,0.23593462794463968,0.07449332108267916,1.3822241242930982,-3.6245532846383367e-06,primary
sub-002,0.444986511862903,0.2045721657287744,0.23593462794463968,0.06362713281920121,1.411454308705182,-8.570822379359125e-07,primary
sub-002,0.48540164664858326,0.36542390613196796,0.33030847912249556,0.13818290307080525,0.9731426711997025,1.8962648931900873e-06,primary
sub-002,0.5006661287538834,0.38781759129458615,0.33030847912249556,0.10708276564330688,1.3035985664266434,1.2068024002830545e-05,primary
sub-002,0.4837516932807236,0.39221286009424605,0.2831215535335676,0.11044589708305613,1.1503407745628242,2.11889013048998e-06,primary
sub-002,0.48756216618376685,0.2846488424962383,0.2831215535335676,0.0914981530283611,1.4173368661214905,-4.648918538866969e-06,primary
sub-002,0.47016731668085593,0.27426625545910854,0.33030847912249556,0.08486052313259784,1.117955034656986,5.026572514919961e-06,primary
sub-002,0.46723117208714615,0.31122817766900046,0.33030847912249556,0.08854057618330263,1.250843045615825,2.5960863115978486e-06,primary
sub-002,0.4772055521755715,0.10591111149507344,0.23593462794463968,0.044924076771145544,2.8312485309968904,5.133119776162587e-06,primary
sub-002,0.5012679377760653,0.26871243145949303,0.23593462794463968,0.09626378867801574,1.3430666165943002,1.6315389568892425e-06,primary
sub-002,0.4550083502781006,0.32168243347490694,0.33030847912249556,0.09328769742344657,1.2671491473416356,5.580814717889051e-06,primary
sub-002,0.4736213651980944,0.21223683106307514,0.23593462794463968,0.07495014717656741,1.5642046150385822,-1.2419629752841645e-06,primary
sub-002,0.4558317204154046,0.22830263412423712,0.23593462794463968,0.06965869041648212,1.4264292339916447,-5.398348844256097e-06,primary
sub-002,0.4938109436069384,0.2792937668251461,0.33030847912249556,0.08341513723888466,1.873626001339459,5.101725364690354e-06,primary
sub-002,0.5079814837119813,0.28008572555984623,0.2831215535335676,0.08686659919135623,1.442688562051888,5.275251706232298e-07,primary
sub-002,0.48958695983087336,0.23174540586215472,0.4246823303003514,0.09762042351403019,1.207584574303408,-1.5455770324675795e-06,primary
sub-002,0.45516684889539094,0.272778666949206,0.2831215535335676,0.0986705448529529,0.9872859262656961,5.1008617211838215e-06,primary
sub-002,0.49185872624856797,0.23127980231515635,0.23593462794463968,0.08701125083613297,1.3673823349377088,1.2497283867348495e-06,primary
sub-002,0.4987099557639656,0.1956985355505445,0.4246823303003514,0.09475401150562435,1.4170367929118026,7.55462241410438e-06,primary
sub-002,0.45937841405922347,0.21919209260228228,0.23593462794463968,0.08007311036503394,1.3189054475953068,2.22210980158965e-06,primary
sub-002,0.5054522473385414,0.2521241449243366,0.23593462794463968,0.07960452391654195,1.7280847711038292,3.5240269894208094e-06,primary
sub-002,0.39161385243262276,0.2217183245637449,0.23593462794463968,0.07033926895815068,1.5501954947569094,-2.8234768511495523e-06,primary
sub-002,0.4417462747426079,0.2478361639045812,0.2831215535335676,0.0822780423530508,1.3101890248264447,1.1806598331558385e-06,primary
sub-002,0.5176325798160613,0.36029460541549013,0.33030847912249556,0.11352411473669625,1.2716411598228596,9.900396735062032e-06,primary
sub-002,0.47141862711649235,0.27237049207936037,0.23593462794463968,0.07991328137151547,1.4819977909882638,-3.646249265197831e-06,primary
