beta,SE,z,p,R2_marginal,n_trials,n_subjects,model,kind,config,formula
0.10241428768097718,0.027538960536686214,3.718887194182413,0.00020010238398793234,0.012597992354969828,1084,27,M_MED_Fz_0_150,real,real,p300_amp_z ~ median_amp_z
-0.05609533761084118,0.02689498450359227,-2.085717417065205,0.03700422780127188,0.004016985730760107,1084,27,M_MAD_Fz_0_150,real,real,p300_amp_z ~ mad_amp_z
-0.03143158482288136,0.028565439314626885,-1.1003361256477113,0.2711856975583058,0.0011163486912899529,1084,27,M_P2P_Fz_0_150,real,real,p300_amp_z ~ p2p_amp_z
0.04252655550398232,0.03087215542399457,1.3775052282526952,0.1683560994787241,0.0017488831461695117,1084,27,M_SKEW_Fz_0_150,real,real,p300_amp_z ~ skew_amp_z
0.0350911423652095,0.02539671110989602,1.3817199484359994,0.167057706834,0.0017668573250993196,1084,27,M_KURT_Fz_0_150,real,real,p300_amp_z ~ kurt_amp_z
0.13108602968813637,0.030467667666545857,4.302463553259497,1.6890946228809156e-05,0.01683711035637521,1084,27,M_SLOPE_Fz_0_150,real,real,p300_amp_z ~ slope_amp_z
0.08522047914874468,0.029755284799146842,2.864045151104995,0.00418268386225451,0.007513753259355188,1084,27,M_HJORTHMOB_Fz_0_150,real,real,p300_amp_z ~ hjorth_mob_z
-0.034560704036319854,0.021429503512648815,-1.6127627042745212,0.10679607173310823,0.0023945450286241617,1084,27,M_HJORTHCPLX_Fz_0_150,real,real,p300_amp_z ~ hjorth_cplx_z
0.10621213402697412,0.02840092187357548,3.7397424808873905,0.00018420887590009372,0.012763591030251435,1084,27,M2_Fz_mean_0_150,real,real,p300_amp_z ~ mean_early_fz_z
-0.03939567291288624,0.028114201192138782,-1.4012730663641246,0.16113243209626393,0.001808133462873563,1084,27,M3_Fz_sd_0_150,real,real,p300_amp_z ~ sd_early_fz_z
-0.03669504203878393,0.027959642099427844,-1.3124288897651821,0.1893754645641108,0.014318275059667181,1084,27,M4b_Fz_sd_competitive,real,real,p300_amp_z ~ mean_early_fz_z + sd_early_fz_z
-0.033308893680749664,0.026530547014535853,-1.2554921563622496,0.20930015369655663,0.0014521013011294993,1084,27,M5_Fz_RMS_0_200,real,real,p300_amp_z ~ rms_early_fz_200_z
-0.053701998148183626,0.025521981279868107,-2.1041469139601667,0.035365633587871814,0.004068396414671384,1084,27,M6_Fz_RMS_0_250,real,real,p300_amp_z ~ rms_early_fz_250_z
0.12458387968814369,0.027946987618071583,4.457864346266179,8.278025854790982e-06,0.018072451557387074,1084,27,M5m_Fz_mean_0_200,real,real,p300_amp_z ~ mean_early_fz_200_z
0.14824320951678216,0.027643666143306104,5.3626465009482525,8.201140500041504e-08,0.02584611173160115,1084,27,M6m_Fz_mean_0_250,real,real,p300_amp_z ~ mean_early_fz_250_z
0.009112326119715125,0.0283048668497896,0.3219349579728851,0.747501969213894,9.562525056931307e-05,1084,27,M7_Fz_baseline_RMS,real,real,p300_amp_z ~ rms_base_fz_z
0.037414200693782394,0.029892603635251896,1.2516206734718949,0.21070811781164256,0.0014430753578166188,1084,27,M7m_Fz_baseline_mean,real,real,p300_amp_z ~ mean_base_fz_z
-0.1386733574933658,0.028935374372611188,-4.792519899954265,1.6469942936137016e-06,0.020751440385238688,1084,27,M8_Pz_RMS_0_150,real,real,p300_amp_z ~ rms_early_pz_z
-0.024201880198456555,0.023643829119570973,-1.0236023985820326,0.30602311184733155,0.3134493035743727,1084,27,M9b_Pz_sd_competitive,real,real,p300_amp_z ~ mean_early_pz_z + sd_early_pz_z
-0.03555464321665101,0.02826815115972981,-1.2577633045666383,0.20847737032759683,0.001461648823374102,1084,27,M10_Pz_baseline_RMS,real,real,p300_amp_z ~ rms_base_pz_z
-0.1376285820272164,0.029781545736648925,-4.621270609800881,3.8139689180205494e-06,0.02075276938479395,1084,27,M11_Pz_RMS_with_basecov,real,real,p300_amp_z ~ rms_early_pz_z + rms_base_pz_z
0.2322719777656453,0.03395080885105198,6.841426924014161,7.840839089112706e-12,0.047279740348020995,943,26,M_MED_Fz_0_150,pseudo,config4,p300_amp_z ~ median_amp_z
-0.0679880881372102,0.029111108771210658,-2.335468864189976,0.019518940603660884,0.005681996484412105,943,26,M_MAD_Fz_0_150,pseudo,config4,p300_amp_z ~ mad_amp_z
-0.021584655594784116,0.033653541732116654,-0.6413784250881739,0.5212768468803515,0.0004320641882028238,943,26,M_P2P_Fz_0_150,pseudo,config4,p300_amp_z ~ p2p_amp_z
0.004150469795393074,0.03607996887455079,0.11503529312411993,0.9084171478549594,1.402066888099389e-05,943,26,M_SKEW_Fz_0_150,pseudo,config4,p300_amp_z ~ skew_amp_z
0.05124274727178351,0.030227204628805463,1.6952526011270979,0.0900275122439711,0.003031227320081219,943,26,M_KURT_Fz_0_150,pseudo,config4,p300_amp_z ~ kurt_amp_z
0.11942065795551175,0.034019610910674,3.510347554211512,0.0004475213353722918,0.012897967253130518,943,26,M_SLOPE_Fz_0_150,pseudo,config4,p300_amp_z ~ slope_amp_z
0.07014748711855352,0.03656757918035944,1.918297264704631,0.05507332907126705,0.003887002589130786,943,26,M_HJORTHMOB_Fz_0_150,pseudo,config4,p300_amp_z ~ hjorth_mob_z
-0.0442384019768078,0.025330382272340538,-1.7464561529777558,0.08073171980860949,0.003223290370647061,943,26,M_HJORTHCPLX_Fz_0_150,pseudo,config4,p300_amp_z ~ hjorth_cplx_z
0.2226545330951792,0.033879646991105246,6.571926004826286,4.966849154186548e-11,0.04377542000809053,943,26,M2_Fz_mean_0_150,pseudo,config4,p300_amp_z ~ mean_early_fz_z
-0.03958363744960226,0.032017703751311744,-1.2363046943358813,0.2163453268400981,0.0016031343781483468,943,26,M3_Fz_sd_0_150,pseudo,config4,p300_amp_z ~ sd_early_fz_z
-0.03699905818119937,0.03144562399988124,-1.176604356184476,0.23935345827303234,0.04472878497834574,943,26,M4b_Fz_sd_competitive,pseudo,config4,p300_amp_z ~ mean_early_fz_z + sd_early_fz_z
-0.1126282244106241,0.02878349423691932,-3.9129448107853717,9.117737840758089e-05,0.015977201005257142,943,26,M5_Fz_RMS_0_200,pseudo,config4,p300_amp_z ~ rms_early_fz_200_z
-0.10895669075910563,0.02831442575072289,-3.8480981997780366,0.00011903833931081742,0.015450469694961184,943,26,M6_Fz_RMS_0_250,pseudo,config4,p300_amp_z ~ rms_early_fz_250_z
0.23008937207190844,0.03167848554078739,7.263269318088411,3.779199175824033e-13,0.05291049481954306,943,26,M5m_Fz_mean_0_200,pseudo,config4,p300_amp_z ~ mean_early_fz_200_z
0.22714270979875176,0.03057247098138643,7.429648389789756,1.0880185641326534e-13,0.055295966597170114,943,26,M6m_Fz_mean_0_250,pseudo,config4,p300_amp_z ~ mean_early_fz_250_z
-0.08557399593513894,0.03171386506355704,-2.6983149409143925,0.006969147384006336,0.0076008966585415375,943,26,M7_Fz_baseline_RMS,pseudo,config4,p300_amp_z ~ rms_base_fz_z
0.062005203777789536,0.03302885761571491,1.8773039170536698,0.06047645167719029,0.0037229528546362366,943,26,M7m_Fz_baseline_mean,pseudo,config4,p300_amp_z ~ mean_base_fz_z
-0.16803239693831953,0.020544253023162363,-8.179046312799667,2.220446049250313e-16,0.06579268916381134,943,26,M8_Pz_RMS_0_150,pseudo,config4,p300_amp_z ~ rms_early_pz_z
-0.01798902030822161,0.025898812359893938,-0.6945886189004876,0.48731314668411363,0.3702281869850266,943,26,M9b_Pz_sd_competitive,pseudo,config4,p300_amp_z ~ mean_early_pz_z + sd_early_pz_z
-0.14098517278817466,0.025099487274197703,-5.617053896280485,1.942408478505797e-08,0.032164944841913505,943,26,M10_Pz_baseline_RMS,pseudo,config4,p300_amp_z ~ rms_base_pz_z
-0.14422650501432938,0.022820606964161785,-6.320011787628055,2.6154345356133035e-10,0.07133381957196888,943,26,M11_Pz_RMS_with_basecov,pseudo,config4,p300_amp_z ~ rms_early_pz_z + rms_base_pz_z
