model,beta_real,SE_real,z_real,p_real,R2_real,beta_pseudo,SE_pseudo,z_pseudo,p_pseudo,R2_pseudo,n_trials,R2_real_minus_pseudo,beta_ratio_pseudo_over_real
M1_RMS_Fz_0_150,-0.0725078234397173,0.0267210988042271,-2.713504559484917,0.0066575652055711,0.0068316625846404,0.18182778945542227,0.09959153211657402,1.8257354374525432,0.0678901225027857,0.022479424591116168,148,-0.015647762006475767,-2.5076989051614977
M4a_competitive_Fz_mean,0.1051380542166883,0.0284164801332419,3.699897162622072,0.0002156868501566,0.0143428444393677,0.06063363184156527,0.09575665860890767,0.6332053845906115,0.5265995298937995,0.027057187430829056,148,-0.012714342991461356,0.5767049075932114
M9a_competitive_Pz_mean,0.5687666794456608,0.0258666072661848,21.98845305040076,0.0,0.3104508686939536,0.5685198003980316,0.06441928505179814,8.825304409089565,0.0,0.34758864966222713,148,-0.037137780968273526,0.9995659396786924
M12_Pz_mean_with_baseline_cov,0.5714370997799948,0.0271201733460125,21.070554840830823,0.0,0.3099697655047003,0.559430766911695,0.06486947549192211,8.623944662252715,0.0,0.34519736397455847,148,-0.03522759846985818,0.9789892310581125
