beta,SE,z,p,R2_marginal,n_trials,n_subjects,model,kind,config
0.07653492522257498,0.016523646914384228,4.631842208873969,3.624263357426827e-06,0.006824241104872525,3130,90,M1_RMS_Fz_to_Pz,real,real
0.024403307149818067,0.018324491779932853,1.3317317305652168,0.1829483585486753,0.0005676143331794665,3130,90,M4a_mean_Fz_to_Pz,real,real
0.4867889999865558,0.015931395888105895,30.555326313244404,0.0,0.23095188147880652,3130,90,M9a_mean_Pz_to_Pz,real,real
0.1740800371004439,0.015849389814252043,10.983390473739762,0.0,0.037152023864828514,3130,90,M8_RMS_Pz_to_Pz,real,real
0.013168348983827075,0.018640790127495706,0.7064265459650972,0.47992291731530745,0.00015984620297179362,3130,90,M_PE_Fz_to_Pz,real,real
-0.008869578444633519,0.017872325246425784,-0.49627445351059235,0.6197007876572374,7.873296220603675e-05,3130,90,M_SE_Fz_to_Pz,real,real
-0.011346395070611977,0.02285279818764803,-0.49649915854701415,0.619542280886801,7.875316943507159e-05,3130,90,M_LZ_Fz_to_Pz,real,real
0.0023111104868206297,0.014688255153757521,0.1573441135538421,0.8749736556246297,9.356252010664932e-06,2270,83,M1_RMS_Fz_to_Pz,pseudo,config4
-0.0136444348272283,0.021936732626653313,-0.621990296342045,0.5339482486774696,0.00021635923828724303,2270,83,M4a_mean_Fz_to_Pz,pseudo,config4
0.4615957799495339,0.01700784105656114,27.140174841383725,0.0,0.24613000275208477,2270,83,M9a_mean_Pz_to_Pz,pseudo,config4
0.03350588911262068,0.016015074568465702,2.0921469312790504,0.03642537403025692,0.0018193989074471253,2270,83,M8_RMS_Pz_to_Pz,pseudo,config4
-0.018030367856223587,0.02027385525381667,-0.8893408594711786,0.37381991855568897,0.0003670053819328472,2270,83,M_PE_Fz_to_Pz,pseudo,config4
-0.024035322415699997,0.015652998013853947,-1.5355091973069397,0.1246587996398667,0.0006001905267404359,2270,83,M_SE_Fz_to_Pz,pseudo,config4
0.005634297447205052,0.023807595681126646,0.23665965781129314,0.8129208343240832,2.4672578733158913e-05,2270,83,M_LZ_Fz_to_Pz,pseudo,config4
