dataset,config,model,subject,real_slope,pseudo_mean,d,n_pseudo_draws,used
erp_core,config4,M1_RMS_Fz_0_150,sub-001,0.01624773716112665,-0.13854988698290316,0.1547976241440298,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-002,-0.16922973571869754,0.02559652339544006,-0.1948262591141376,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-003,-0.3324391947193632,0.007887953422655497,-0.3403271481420187,3,False
erp_core,config4,M1_RMS_Fz_0_150,sub-005,0.24289474351562257,,,0,False
erp_core,config4,M1_RMS_Fz_0_150,sub-006,-0.35832164842785524,-0.021732234692832943,-0.3365894137350223,890,True
erp_core,config4,M1_RMS_Fz_0_150,sub-007,-0.22225981215631813,0.0625221454726248,-0.2847819576289429,531,True
erp_core,config4,M1_RMS_Fz_0_150,sub-010,-0.12745826677406907,-0.027494372216302656,-0.09996389455776641,622,True
erp_core,config4,M1_RMS_Fz_0_150,sub-011,-0.14029130357360833,-0.0521724207865011,-0.08811888278710724,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-012,-0.026075582453805243,-0.07261137995390607,0.046535797500100826,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-013,-0.12104471055121202,-0.1934550239191678,0.07241031336795578,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-014,0.0780453611875758,-0.130580405069976,0.2086257662575518,998,True
erp_core,config4,M1_RMS_Fz_0_150,sub-015,-0.044374850761970265,-0.02024924996518844,-0.024125600796781825,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-016,-0.42280350585969745,-0.18389167134686774,-0.2389118345128297,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-017,-0.04437912468365729,-0.00017557534692741063,-0.04420354933672988,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-019,0.03018372687331147,-0.03190790627266979,0.06209163314598126,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-020,-0.006245209819930661,0.14522764314836611,-0.15147285296829677,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-021,0.06260856607464423,-0.004629903798997095,0.06723846987364132,990,True
erp_core,config4,M1_RMS_Fz_0_150,sub-022,-0.15615401239266102,0.06909997387120888,-0.2252539862638699,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-024,-0.1670021018923597,-0.0784134986433268,-0.0885886032490329,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-025,-0.4221647299812685,-0.07458719078898322,-0.3475775391922853,960,True
erp_core,config4,M1_RMS_Fz_0_150,sub-026,-0.19627721199292147,-0.194486752259377,-0.0017904597335444694,999,True
