dataset,config,model,n_subjects_processed,n_used,n_dropped,draws_min,draws_median,beta_real,beta_pseudo_mean,beta_pseudo_sd,dbeta,bca_lo,bca_hi,surrogate_p
erp_core,config2,M1_RMS_Fz_0_150,27,17,10,657,1000,-0.07802745247550474,-0.03221849945187259,0.06437570018008623,-0.04411624779784148,-0.09735261957168417,0.01697391415363413,0.22988505747126436
erp_core,config2,M4a_mean_Fz,27,17,10,657,1000,0.08443147065042182,0.18131695564764339,0.06865877898572463,-0.09542021092601917,-0.1623600947798233,-0.028812316566267437,0.9250374812593704
erp_core,config2,M8_RMS_Pz_0_150,27,17,10,657,1000,-0.14550954208862865,-0.01215893005453728,0.07511781370275528,-0.1330433956214178,-0.2404813239306501,-0.01232062355747783,0.04097951024487756
erp_core,config2,M9a_mean_Pz,27,17,10,657,1000,0.5737675113803461,0.5918880119327962,0.0708612050234416,-0.018324080219283435,-0.10069527540237824,0.044552577498759974,0.5942028985507246
ds006018,config2,M1_RMS_Fz_0_150,83,73,10,207,1000,0.043024166740385575,0.007087493396031138,0.029494458271787708,0.03752590641994328,-0.004768149960018816,0.07956432057217386,0.11294352823588207
ds006018,config2,M4a_mean_Fz,83,73,10,207,1000,0.020744529015152904,-0.038622413220737624,0.03198748372104052,0.060245549419107584,0.021344438933642157,0.10238931641758733,0.03298350824587706
ds006018,config2,M8_RMS_Pz_0_150,83,73,10,207,1000,0.1524063336255078,0.02637664969382483,0.032125065423775925,0.12663599928415262,0.07020670728341331,0.17851478071803906,0.0004997501249375312
ds006018,config2,M9a_mean_Pz,83,73,10,207,1000,0.5053393939210504,0.5527860342816551,0.03215634533478041,-0.047779335312715346,-0.09462677443590412,-0.0023878976872280695,0.9385307346326837
