dataset,config,model,marginal_r2,lmm_beta,n_subjects,n_trials
erp_core,config2,M1_RMS_Fz_0_150,0.007037843041662372,-0.07399878814993095,27,1084
erp_core,config2,M4a_mean_Fz,0.013627167628077598,0.10914623251349685,27,1084
erp_core,config2,M8_RMS_Pz_0_150,0.02161947520669363,-0.1407755688852187,27,1084
erp_core,config2,M9a_mean_Pz,0.3174257121971552,0.5737456653642539,27,1084
ds006018,config2,M1_RMS_Fz_0_150,0.0023585434103361785,0.04481159587953522,84,2782
ds006018,config2,M4a_mean_Fz,4.076023099400395e-05,0.006437717323150284,84,2782
ds006018,config2,M8_RMS_Pz_0_150,0.023737399397943247,0.13658979769414162,84,2782
ds006018,config2,M9a_mean_Pz,0.22804647970928768,0.48872226402506314,84,2782
