dataset,config,model,subject,real_slope,pseudo_mean,d,n_pseudo_draws,used
erp_core,config2,M1_RMS_Fz_0_150,sub-001,0.2239994057108745,0.039242146699529086,0.18475725901134543,102,False
erp_core,config2,M1_RMS_Fz_0_150,sub-002,-0.19620440754072713,-0.01526941263995218,-0.18093499490077494,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-003,-0.1253199446526285,,,0,False
erp_core,config2,M1_RMS_Fz_0_150,sub-006,-0.15310738063173873,0.05796348271221584,-0.21107086334395458,2,False
erp_core,config2,M1_RMS_Fz_0_150,sub-007,-0.21411496739957722,0.11172856598197065,-0.32584353338154787,136,False
erp_core,config2,M1_RMS_Fz_0_150,sub-010,-0.09960959128342718,0.018307440769639305,-0.11791703205306649,8,False
erp_core,config2,M1_RMS_Fz_0_150,sub-012,-0.07719288814776919,-0.12822933509488732,0.05103644694711813,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-013,-0.15778354048878265,-0.17082057596755784,0.013037035478775189,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-014,0.06416393924699897,-0.15255234883911262,0.2167162880861116,657,True
erp_core,config2,M1_RMS_Fz_0_150,sub-015,-0.08350437324340311,0.019306370793377516,-0.10281074403678063,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-016,-0.3193199586913561,-0.16822173608779306,-0.15109822260356304,719,True
erp_core,config2,M1_RMS_Fz_0_150,sub-019,-0.06878307171777809,-0.048231468522487546,-0.020551603195290542,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-020,-0.039543363126219526,0.06963523389716841,-0.10917859702338795,872,True
erp_core,config2,M1_RMS_Fz_0_150,sub-021,0.06260856607464423,0.019509207736302082,0.04309935833834214,964,True
erp_core,config2,M1_RMS_Fz_0_150,sub-022,-0.1491647247849037,0.03720689129167832,-0.186371616076582,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-024,-0.1870017538454645,-0.06125259814231718,-0.12574915570314732,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-025,-0.2891534161456781,,,0,False
erp_core,config2,M1_RMS_Fz_0_150,sub-026,-0.22221011422540093,-0.0762103917251506,-0.14599972250025034,801,True
erp_core,config2,M1_RMS_Fz_0_150,sub-027,0.06333098977048666,-0.05748779491638865,0.12081878468687532,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-028,0.06181360251691875,0.10664913333431875,-0.04483553081739999,870,True
erp_core,config2,M1_RMS_Fz_0_150,sub-029,0.040879696162548995,-0.016980351249891407,0.0578600474124404,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-031,0.24169027480339295,-0.0017153114332718608,0.2434055862366648,135,False
erp_core,config2,M1_RMS_Fz_0_150,sub-033,-0.10868753618660168,-0.03629364987028677,-0.07239388631631491,125,False
erp_core,config2,M1_RMS_Fz_0_150,sub-034,-0.12341166802027584,0.08773701217818958,-0.21114868019846542,1000,True
erp_core,config2,M1_RMS_Fz_0_150,sub-035,0.06540041388170613,-0.1525411399324548,0.21794155381416092,27,False
erp_core,config2,M1_RMS_Fz_0_150,sub-038,0.0048563779769025565,-0.02127831556577173,0.026134693542674288,996,True
erp_core,config2,M1_RMS_Fz_0_150,sub-040,-0.051058364892795645,,,0,False
erp_core,config2,M4a_mean_Fz,sub-001,0.18040622272022055,0.15714478638734358,0.023261436332876972,102,False
erp_core,config2,M4a_mean_Fz,sub-002,0.04696031937616155,0.09836545629295845,-0.051405136916796906,1000,True
erp_core,config2,M4a_mean_Fz,sub-003,0.22368326883690218,,,0,False
erp_core,config2,M4a_mean_Fz,sub-006,0.10063269219177784,-0.10484320824496948,0.20547590043674732,2,False
erp_core,config2,M4a_mean_Fz,sub-007,0.19917868121687635,0.07046961746787973,0.1287090637489966,136,False
erp_core,config2,M4a_mean_Fz,sub-010,0.04242729033311353,0.0682193647461361,-0.025792074413022573,8,False
erp_core,config2,M4a_mean_Fz,sub-012,0.07909864968906952,0.1975227464694002,-0.1184240967803307,1000,True
erp_core,config2,M4a_mean_Fz,sub-013,-0.11863326505582523,0.1481616444739653,-0.2667949095297905,1000,True
erp_core,config2,M4a_mean_Fz,sub-014,-0.05338027314276305,0.2688239125005775,-0.3222041856433406,657,True
erp_core,config2,M4a_mean_Fz,sub-015,-0.0023329804980434924,0.057955991790735,-0.06028897228877849,1000,True
erp_core,config2,M4a_mean_Fz,sub-016,0.40483119129480405,0.28616069882879897,0.11867049246600508,719,True
erp_core,config2,M4a_mean_Fz,sub-019,0.08154967566790569,0.0903459354701331,-0.00879625980222741,1000,True
erp_core,config2,M4a_mean_Fz,sub-020,0.025094300751361074,0.3203389115401924,-0.2952446107888313,872,True
erp_core,config2,M4a_mean_Fz,sub-021,0.000818332707378998,0.1527045749629322,-0.1518862422555532,964,True
erp_core,config2,M4a_mean_Fz,sub-022,0.10031022468718542,0.16280699431122087,-0.06249676962403544,1000,True
erp_core,config2,M4a_mean_Fz,sub-024,-0.05111837164795982,0.04014217452453048,-0.0912605461724903,1000,True
erp_core,config2,M4a_mean_Fz,sub-025,0.10296853466522812,,,0,False
erp_core,config2,M4a_mean_Fz,sub-026,-0.1955999569457273,0.11750837930064462,-0.3131083362463719,801,True
erp_core,config2,M4a_mean_Fz,sub-027,0.35740739208968636,0.19379176620078603,0.16361562588890033,1000,True
erp_core,config2,M4a_mean_Fz,sub-028,0.14622547245196493,0.28371065845537224,-0.1374851860034073,870,True
erp_core,config2,M4a_mean_Fz,sub-029,0.18636629695822096,0.23800216422404324,-0.05163586726582228,1000,True
erp_core,config2,M4a_mean_Fz,sub-031,0.16707772264389006,0.18436408978922073,-0.01728636714533066,135,False
erp_core,config2,M4a_mean_Fz,sub-033,0.5504196086154223,0.24735789722257615,0.3030617113928461,125,False
erp_core,config2,M4a_mean_Fz,sub-034,0.1805826191871292,0.1976162205933807,-0.017033601406251486,1000,True
erp_core,config2,M4a_mean_Fz,sub-035,0.2734069348448307,0.14597268890469517,0.12743424594013553,27,False
erp_core,config2,M4a_mean_Fz,sub-038,0.24715537348662228,0.20352035685982586,0.04363501662679642,996,True
erp_core,config2,M4a_mean_Fz,sub-040,-0.14458497176066906,,,0,False
erp_core,config2,M8_RMS_Pz_0_150,sub-001,-0.07730549575296705,0.03486002713866407,-0.11216552289163112,102,False
erp_core,config2,M8_RMS_Pz_0_150,sub-002,0.1748776912452196,0.027515702010347063,0.14736198923487254,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-003,-0.12944517658928525,,,0,False
erp_core,config2,M8_RMS_Pz_0_150,sub-006,0.039312909689918615,-0.4572391698370293,0.4965520795269479,2,False
erp_core,config2,M8_RMS_Pz_0_150,sub-007,0.012928598761701418,0.012996664534267108,-6.806577256568934e-05,136,False
erp_core,config2,M8_RMS_Pz_0_150,sub-010,-0.005991270943963493,0.057929351977549975,-0.06392062292151347,8,False
erp_core,config2,M8_RMS_Pz_0_150,sub-012,-0.06494975034528862,-0.08557736730883053,0.020627616963541914,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-013,-0.27229151049048733,-0.17276818058208918,-0.09952332990839816,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-014,0.293093202606055,-0.08540049125559535,0.3784936938616503,657,True
erp_core,config2,M8_RMS_Pz_0_150,sub-015,-0.32746266046231387,-0.020613757055359935,-0.3068489034069539,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-016,-0.2889783118736146,-0.1510637717999961,-0.1379145400736185,719,True
erp_core,config2,M8_RMS_Pz_0_150,sub-019,-0.32468126293308114,0.03970089235375674,-0.36438215528683787,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-020,0.0901201381989864,-0.08030644443736369,0.17042658263635008,872,True
erp_core,config2,M8_RMS_Pz_0_150,sub-021,-0.2650062139690554,-0.019706085079218793,-0.2453001288898366,964,True
erp_core,config2,M8_RMS_Pz_0_150,sub-022,-0.2812646727462107,0.05479241920759941,-0.3360570919538101,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-024,-0.1609098806107112,0.11859271012520099,-0.2795025907359122,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-025,-0.30570918538232333,,,0,False
erp_core,config2,M8_RMS_Pz_0_150,sub-026,-0.4429910366399679,0.14987518647342044,-0.5928662231133883,801,True
erp_core,config2,M8_RMS_Pz_0_150,sub-027,-0.1325582352247818,-0.1965307305261124,0.06397249530133059,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-028,0.18705535359164083,0.10826129512633537,0.07879405846530546,870,True
erp_core,config2,M8_RMS_Pz_0_150,sub-029,-0.24032744678891793,0.06064659265795552,-0.30097403944687345,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-031,-0.15266954614681574,0.18642975941772064,-0.3390993055645364,135,False
erp_core,config2,M8_RMS_Pz_0_150,sub-033,-0.19331371475380343,0.16228845796948851,-0.355602172723292,125,False
erp_core,config2,M8_RMS_Pz_0_150,sub-034,-0.13387077870416902,-0.013941511001269799,-0.11992926770289923,1000,True
erp_core,config2,M8_RMS_Pz_0_150,sub-035,-0.0490768581719388,-0.050026191208623276,0.0009493330366844785,27,False
erp_core,config2,M8_RMS_Pz_0_150,sub-038,-0.28351684035998914,0.05459905114863585,-0.338115891508625,996,True
erp_core,config2,M8_RMS_Pz_0_150,sub-040,0.3046338190816421,,,0,False
erp_core,config2,M9a_mean_Pz,sub-001,0.60659877951542,0.5576464913574382,0.048952288157981805,102,False
erp_core,config2,M9a_mean_Pz,sub-002,0.5874570796343056,0.5896252634012727,-0.0021681837669671467,1000,True
erp_core,config2,M9a_mean_Pz,sub-003,0.5742364056386344,,,0,False
erp_core,config2,M9a_mean_Pz,sub-006,0.3724622173287115,0.6586799373645629,-0.2862177200358514,2,False
erp_core,config2,M9a_mean_Pz,sub-007,0.6375223120178343,0.583603352770135,0.053918959247699294,136,False
erp_core,config2,M9a_mean_Pz,sub-010,0.6994120327864668,0.9748363824780151,-0.2754243496915483,8,False
erp_core,config2,M9a_mean_Pz,sub-012,0.5434355924769421,0.4849436910274003,0.05849190144954175,1000,True
erp_core,config2,M9a_mean_Pz,sub-013,0.09667538489126967,0.5248836614602462,-0.42820827656897653,1000,True
erp_core,config2,M9a_mean_Pz,sub-014,0.6230337213890589,0.7595677411529882,-0.13653401976392932,657,True
erp_core,config2,M9a_mean_Pz,sub-015,0.7538694008518948,0.5084654129596848,0.24540398789220996,1000,True
erp_core,config2,M9a_mean_Pz,sub-016,0.5618329930531509,0.511002006439024,0.05083098661412688,719,True
erp_core,config2,M9a_mean_Pz,sub-019,0.4486879219656653,0.5627704893619885,-0.11408256739632316,1000,True
erp_core,config2,M9a_mean_Pz,sub-020,0.6691498462078368,0.7913956565198217,-0.12224581031198489,872,True
erp_core,config2,M9a_mean_Pz,sub-021,0.5164999649163194,0.6351355813880519,-0.11863561647173249,964,True
erp_core,config2,M9a_mean_Pz,sub-022,0.6550733727375456,0.5922923656249822,0.0627810071125634,1000,True
erp_core,config2,M9a_mean_Pz,sub-024,0.6506411117784644,0.5691897724060532,0.08145133937241122,1000,True
erp_core,config2,M9a_mean_Pz,sub-025,0.4381216800919058,,,0,False
erp_core,config2,M9a_mean_Pz,sub-026,0.43355266898524564,0.5704707209892953,-0.13691805200404966,801,True
erp_core,config2,M9a_mean_Pz,sub-027,0.6074161534885864,0.5630932677625357,0.0443228857260507,1000,True
erp_core,config2,M9a_mean_Pz,sub-028,0.6366686141871484,0.6696005557677228,-0.03293194158057444,870,True
erp_core,config2,M9a_mean_Pz,sub-029,0.640950680842591,0.5564132182389535,0.08453746260363748,1000,True
erp_core,config2,M9a_mean_Pz,sub-031,0.6168750193764978,0.6378206379141944,-0.02094561853769661,135,False
erp_core,config2,M9a_mean_Pz,sub-033,0.8911397591559755,0.4862335363400312,0.40490622281594435,125,False
erp_core,config2,M9a_mean_Pz,sub-034,0.5987100219882733,0.491574670510642,0.10713535147763126,1000,True
erp_core,config2,M9a_mean_Pz,sub-035,0.589443946600745,0.6768086644826758,-0.0873647178819309,27,False
erp_core,config2,M9a_mean_Pz,sub-038,0.7303931640715866,0.6851329821830401,0.045260181888546525,996,True
erp_core,config2,M9a_mean_Pz,sub-040,0.5546225324213715,,,0,False
ds006018,config2,M1_RMS_Fz_0_150,021,-0.15481668816008154,0.03319941316283463,-0.18801610132291618,1000,True
ds006018,config2,M1_RMS_Fz_0_150,026,-0.10266186021009842,0.018038278435107174,-0.1207001386452056,1000,True
ds006018,config2,M1_RMS_Fz_0_150,019,0.1268268477021427,0.23920207624116846,-0.11237522853902576,1,False
ds006018,config2,M1_RMS_Fz_0_150,010,0.12365368148638625,0.008839843286800732,0.11481383819958552,1000,True
ds006018,config2,M1_RMS_Fz_0_150,017,-0.03377179762687037,0.05210179847904052,-0.08587359610591089,1000,True
ds006018,config2,M1_RMS_Fz_0_150,028,0.0844039412867505,-0.07648665344078584,0.16089059472753633,1000,True
ds006018,config2,M1_RMS_Fz_0_150,043,0.07005623177792883,0.01708391584677676,0.052972315931152064,832,True
ds006018,config2,M1_RMS_Fz_0_150,075,-0.06281278527876796,0.05728585194730146,-0.12009863722606942,1000,True
ds006018,config2,M1_RMS_Fz_0_150,081,0.6669714638867265,0.1778174405631342,0.48915402332359226,1,False
ds006018,config2,M1_RMS_Fz_0_150,016,0.49656087164329177,0.025362123131696897,0.4711987485115949,1000,True
ds006018,config2,M1_RMS_Fz_0_150,029,-0.008194335738182373,-0.05288249425178002,0.04468815851359765,971,True
ds006018,config2,M1_RMS_Fz_0_150,011,-0.08021447583325453,-0.02697676294810425,-0.05323771288515028,1000,True
ds006018,config2,M1_RMS_Fz_0_150,027,0.04043830102371859,0.03995116015859209,0.0004871408651265022,1000,True
ds006018,config2,M1_RMS_Fz_0_150,018,-0.004899292253488098,-0.12538762104267528,0.1204883287891872,1000,True
ds006018,config2,M1_RMS_Fz_0_150,020,-0.07095438159487891,-0.04001724868155494,-0.030937132913323964,998,True
ds006018,config2,M1_RMS_Fz_0_150,080,-0.039511151491315635,-0.021774286046056582,-0.017736865445259053,623,True
ds006018,config2,M1_RMS_Fz_0_150,074,0.13430038312711606,-0.06268221878060384,0.1969826019077199,1000,True
ds006018,config2,M1_RMS_Fz_0_150,073,-0.17004750468895524,0.0644308967412439,-0.23447840143019916,1000,True
ds006018,config2,M1_RMS_Fz_0_150,045,-0.058821045565930076,-0.03162632669203538,-0.0271947188738947,236,True
ds006018,config2,M1_RMS_Fz_0_150,042,0.20361233285419597,0.014996121937742017,0.18861621091645395,1000,True
ds006018,config2,M1_RMS_Fz_0_150,113,0.1587787903009247,0.06025169361799183,0.09852709668293287,1000,True
ds006018,config2,M1_RMS_Fz_0_150,122,0.046531362868670025,-0.04066655156876199,0.08719791443743202,1000,True
ds006018,config2,M1_RMS_Fz_0_150,125,0.03438601784990756,-0.00939764936812863,0.043783667218036185,1000,True
ds006018,config2,M1_RMS_Fz_0_150,124,0.1705630111312392,0.018318147771439034,0.15224486335980017,864,True
ds006018,config2,M1_RMS_Fz_0_150,123,-0.5630151140483673,-0.029173376869124096,-0.5338417371792432,996,True
ds006018,config2,M1_RMS_Fz_0_150,115,-0.1652908739086464,0.014145233157982932,-0.17943610706662935,1000,True
ds006018,config2,M1_RMS_Fz_0_150,112,0.3707876458253192,-0.07456643815864333,0.44535408398396253,1000,True
ds006018,config2,M1_RMS_Fz_0_150,060,0.13464444766778538,0.027908185808178488,0.1067362618596069,1000,True
ds006018,config2,M1_RMS_Fz_0_150,067,0.008677962917234681,0.009226775479930172,-0.0005488125626954901,32,False
ds006018,config2,M1_RMS_Fz_0_150,058,0.20708838772702684,-0.0390336409159113,0.24612202864293814,811,True
ds006018,config2,M1_RMS_Fz_0_150,051,-0.026680661002245844,0.0652869950262035,-0.09196765602844933,1000,True
ds006018,config2,M1_RMS_Fz_0_150,002,-0.013523160462248577,0.0566137914615561,-0.07013695192380467,998,True
ds006018,config2,M1_RMS_Fz_0_150,005,-0.09043036447038585,0.035932455696504474,-0.12636282016689032,1000,True
ds006018,config2,M1_RMS_Fz_0_150,034,0.09942141982127581,0.10673123117385011,-0.0073098113525743025,1000,True
ds006018,config2,M1_RMS_Fz_0_150,057,-0.05549752571026282,-0.017376071569197418,-0.0381214541410654,1000,True
ds006018,config2,M1_RMS_Fz_0_150,068,-0.028839269717347644,,,0,False
ds006018,config2,M1_RMS_Fz_0_150,050,0.10600583868934783,0.024074705415370393,0.08193113327397744,996,True
ds006018,config2,M1_RMS_Fz_0_150,066,-0.110669483552008,0.002581926438052744,-0.11325140999006074,998,True
ds006018,config2,M1_RMS_Fz_0_150,061,0.019833318169697276,-0.06365973971551685,0.08349305788521412,1000,True
ds006018,config2,M1_RMS_Fz_0_150,035,0.20535248752334662,-0.043989205296511194,0.2493416928198578,483,True
ds006018,config2,M1_RMS_Fz_0_150,032,0.058929701325425604,,,0,False
ds006018,config2,M1_RMS_Fz_0_150,004,-0.16709079977534175,0.011669186107382911,-0.17875998588272465,1000,True
ds006018,config2,M1_RMS_Fz_0_150,003,0.15673025346372052,0.08809686318298818,0.06863339028073234,808,True
ds006018,config2,M1_RMS_Fz_0_150,078,0.005930035451762529,0.058361322791504765,-0.052431287339742234,1000,True
ds006018,config2,M1_RMS_Fz_0_150,047,0.16931963149554352,0.08076486310829974,0.08855476838724378,1000,True
ds006018,config2,M1_RMS_Fz_0_150,040,-0.18973391307118903,-0.0534236688926228,-0.13631024417856624,980,True
ds006018,config2,M1_RMS_Fz_0_150,049,0.016286180166994416,0.05936025967563506,-0.043074079508640645,979,True
ds006018,config2,M1_RMS_Fz_0_150,076,-0.26413033854399426,0.05839053617198592,-0.3225208747159802,1000,True
ds006018,config2,M1_RMS_Fz_0_150,082,0.919250400382331,-0.1772627809985077,1.0965131813808386,54,False
ds006018,config2,M1_RMS_Fz_0_150,071,-0.19897195262114367,0.09210570101656378,-0.29107765363770743,326,True
ds006018,config2,M1_RMS_Fz_0_150,025,0.1642431828464768,,,0,False
ds006018,config2,M1_RMS_Fz_0_150,022,0.027714857280830774,-0.0289194730676907,0.05663433034852147,1000,True
ds006018,config2,M1_RMS_Fz_0_150,014,0.1331160937449609,-0.013672738185120142,0.14678883193008102,1000,True
ds006018,config2,M1_RMS_Fz_0_150,013,0.2764994696483676,0.015539289372013739,0.2609601802763538,898,True
ds006018,config2,M1_RMS_Fz_0_150,070,0.045256793742823105,0.12386992169591873,-0.07861312795309564,1000,True
ds006018,config2,M1_RMS_Fz_0_150,048,0.347441842529272,-0.02696437246623576,0.37440621499550775,1000,True
