beta,SE,z,p,R2_marginal,n_trials,n_subjects,model,kind,config,formula
0.09690548092574458,0.029498573629471486,3.285090395995557,0.001019496571741163,0.00988462456804114,1084,27,M_PE_Fz_0_150,real,real,p300_amp_z ~ early_pe_z
0.05431195327422991,0.032135024332867024,1.690117073248356,0.09100555915503161,0.0026364824030876326,1084,27,M_SE_Fz_0_150,real,real,p300_amp_z ~ early_sampen_z
0.12538833229806343,0.034585529423392776,3.625456495491838,0.0002884514557370821,0.0120032288011943,1084,27,M_LZ_Fz_0_150,real,real,p300_amp_z ~ early_lz_z
0.08522047914874468,0.029755284799146842,2.864045151104995,0.00418268386225451,0.007513753259355188,1084,27,M_HJORTHMOB_Fz_0_150,real,real,p300_amp_z ~ early_hjorth_mob_z
-0.034560704036319854,0.021429503512648815,-1.6127627042745212,0.10679607173310823,0.0023945450286241617,1084,27,M_HJORTHCPLX_Fz_0_150,real,real,p300_amp_z ~ early_hjorth_cplx_z
0.05270941333049544,0.036358668320156357,1.4497069272824448,0.14714026317570283,0.002222374587904292,943,26,M_PE_Fz_0_150,pseudo,config4,p300_amp_z ~ early_pe_z
0.060423469489859265,0.039952737325441655,1.5123737079056652,0.1304388196183417,0.002418315018978374,943,26,M_SE_Fz_0_150,pseudo,config4,p300_amp_z ~ early_sampen_z
0.11868452610813739,0.04828749673938059,2.4578728267631424,0.013976265656884479,0.006364407994437681,943,26,M_LZ_Fz_0_150,pseudo,config4,p300_amp_z ~ early_lz_z
0.07014748711855352,0.03656757918035944,1.918297264704631,0.05507332907126705,0.003887002589130786,943,26,M_HJORTHMOB_Fz_0_150,pseudo,config4,p300_amp_z ~ early_hjorth_mob_z
-0.0442384019768078,0.025330382272340538,-1.7464561529777558,0.08073171980860949,0.003223290370647061,943,26,M_HJORTHCPLX_Fz_0_150,pseudo,config4,p300_amp_z ~ early_hjorth_cplx_z
